date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:43	147642/147642	---M--	200	added ('OK')	image/png	etag:%22a3946b6409daf1799db215f527bcdad8%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Caesar_Salad.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Caesar_Salad.png	(from https://amalfipizza.com.au/)
23:45:44	141668/141668	---M--	200	added ('OK')	image/png	etag:%224b1db93ebc952bc3c1c82ee87360333a%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Salad.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Salad.png	(from https://amalfipizza.com.au/)
23:45:45	241826/241826	---M--	200	added ('OK')	image/png	etag:%22265ba03fdcb46ea959fb247ffaba3b70%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cheese_Garlic_Pizza.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cheese_Garlic_Pizza.png	(from https://amalfipizza.com.au/)
23:45:46	158435/158435	---M--	200	added ('OK')	image/png	etag:%2230230dade8bc8bed40a71ea71e3bb5e2%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Wings.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Chicken_Wings.png	(from https://amalfipizza.com.au/)
23:45:47	164963/164963	---M--	200	added ('OK')	image/png	etag:%226e9e83647dc5fe2530ebce1d47a5c146%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cheesy_Sticks.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cheesy_Sticks.png	(from https://amalfipizza.com.au/)
23:45:48	532806/532806	---M--	200	added ('OK')	image/png	etag:%2257f9bac9fa9802fbceec3ec922a6cadc%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Jalapeno_Bites.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Jalapeno_Bites.png	(from https://amalfipizza.com.au/)
23:45:49	149533/149533	---M--	200	added ('OK')	image/png	etag:%22d3dfabe9f944c7295003f9c4b846ff5e%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Mac_n_Cheese_Bites.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Mac_n_Cheese_Bites.png	(from https://amalfipizza.com.au/)
23:45:50	163756/163756	---M--	200	added ('OK')	image/png	etag:%2284a3717b1f982e46f0d73cd007710c11%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Potato_Wedges.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Potato_Wedges.png	(from https://amalfipizza.com.au/)
23:45:50	168744/168744	---M--	200	added ('OK')	image/png	etag:%22e4fbe1aa6027621649fd9049edd0f87d%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Garlic_Bread_Roll.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Garlic_Bread_Roll.png	(from https://amalfipizza.com.au/)
23:45:51	135032/135032	---M--	200	added ('OK')	image/png	etag:%226501790655e0d06b2448e417ceae421d%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Scalloped_Potato.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Scalloped_Potato.png	(from https://amalfipizza.com.au/)
